Timestamp,Open,High,Low,Close,Volume
2012-01-02,580.5,592.9749755859375,576.5,468.8410949707031,2248542
2012-01-03,591.625,604.9500122070312,590.0,476.3992614746094,2708884
2012-01-04,602.4500122070312,602.5,584.6500244140625,466.6136779785156,2386770
2012-01-05,586.4000244140625,592.5,583.6749877929688,466.21563720703125,2547312
2012-01-06,583.0,594.1749877929688,578.4000244140625,465.1815185546875,2119728
2012-01-09,585.5,589.8499755859375,582.625,465.957275390625,1509028
2012-01-10,587.5,592.75,579.25,463.5903015136719,3591790
2012-01-11,585.7000122070312,587.5,566.5750122070312,452.29296875,5675380
2012-01-12,550.5,557.5,534.3250122070312,433.3976135253906,9528684
2012-01-13,548.5750122070312,551.6749877929688,536.5,431.9059753417969,4019828
2012-01-16,542.0,557.0,539.4500122070312,441.3137512207031,3047202
2012-01-17,559.9500122070312,562.3499755859375,547.0,439.1459045410156,3704218
2012-01-18,540.0,548.1500244140625,522.6500244140625,428.0870666503906,11665532
2012-01-19,543.5,544.4500122070312,532.7000122070312,427.84844970703125,4163292
2012-01-20,539.9749755859375,545.4749755859375,536.5,429.41986083984375,2572694
2012-01-23,543.0,545.7249755859375,537.0750122070312,428.70361328125,2130496
2012-01-24,544.0,547.5,539.0,433.079345703125,2641310
2012-01-25,547.4500122070312,554.9749755859375,545.5250244140625,437.9858093261719,5845238
2012-01-27,552.5,560.2750244140625,550.0499877929688,442.27398681640625,5209718
2012-01-30,551.25,559.4749755859375,550.375,443.4706115722656,2595558
2012-01-31,556.5,567.9500122070312,556.5,451.707763671875,3538120
2012-02-01,564.7000122070312,567.5,554.125,450.2319030761719,2288804
2012-02-02,568.0,576.3250122070312,565.1500244140625,457.930419921875,3386140
2012-02-03,572.5,588.0,570.5,467.32464599609375,2777558
2012-02-06,591.8499755859375,600.0250244140625,586.6749877929688,476.2197265625,3427196
2012-02-07,604.8499755859375,604.8499755859375,595.9500122070312,477.8752136230469,3407656
2012-02-08,608.2000122070312,613.4249877929688,605.5,486.51141357421875,3627184
2012-02-09,605.5499877929688,616.0,594.0,490.0813903808594,3038062
2012-02-10,614.0,619.0,606.0,491.9961853027344,2324302
2012-02-13,611.0999755859375,618.9749755859375,607.0,488.9246826171875,1631770
2012-02-14,612.5,614.7750244140625,607.5,486.6511535644531,1826646
2012-02-15,613.5750122070312,624.4000244140625,609.75,495.26708984375,2167166
2012-02-16,619.0,621.0,609.0,488.7849426269531,1886660
2012-02-17,617.4249877929688,627.0,610.5,490.14129638671875,4096568
2012-02-21,611.7750244140625,620.0,602.375,493.4521484375,2489504
2012-02-22,617.5,633.4249877929688,614.5,499.5552673339844,3141826
2012-02-23,624.5250244140625,637.4500122070312,622.0,502.52716064453125,4086880
2012-02-24,629.5,640.4249877929688,628.625,506.59552001953125,2346400
2012-02-27,639.5,639.9749755859375,622.7999877929688,499.4355163574219,1861370
2012-02-28,627.625,630.2000122070312,609.5499877929688,489.263671875,3973490
2012-02-29,620.0,620.0,606.125,487.42877197265625,3060216
2012-03-01,611.5,613.4749755859375,605.0250244140625,486.4914855957031,1568594
2012-03-02,613.0,613.5,603.5,485.5539855957031,2309232
2012-03-05,607.0,611.2249755859375,600.5,481.5849609375,1540878
2012-03-06,601.5,610.6500244140625,594.5,479.47088623046875,1717722
2012-03-07,597.5,603.0,593.2750244140625,475.8210144042969,1945666
2012-03-09,613.5,613.5,601.4749755859375,482.083740234375,2225758
2012-03-12,607.9500122070312,609.4249877929688,591.5999755859375,474.3051452636719,2240278
2012-03-13,595.0,607.4749755859375,595.0,477.4762268066406,2492464
2012-03-14,605.0499877929688,607.0,575.5,460.5433349609375,8065314
2012-03-15,579.5,585.4749755859375,572.5,464.193359375,4284236
2012-03-16,584.9749755859375,590.0,579.0,466.5267333984375,2054724
2012-03-19,584.7750244140625,584.7750244140625,555.9000244140625,447.55926513671875,5132864
2012-03-20,564.5,572.5,560.0,452.6850280761719,3683204
2012-03-21,568.4749755859375,589.9000244140625,568.2750244140625,469.0000305175781,4553242
2012-03-22,587.3499755859375,594.8499755859375,580.0,465.80877685546875,3421694
2012-03-23,587.5,595.9500122070312,582.4000244140625,472.54998779296875,3158436
2012-03-26,588.5,592.5,577.0,463.3554992675781,3053384
2012-03-27,586.5,589.8250122070312,575.9749755859375,468.6008605957031,1588246
2012-03-28,587.0,587.3250122070312,577.2249755859375,464.7516174316406,2051096
2012-03-29,575.5,582.0,566.2000122070312,455.21807861328125,2681214
